"","Ambystoma altamirani","Ambystoma mexicanum","Ambystoma rivulare","Andrias japonicus","Aquiloeurycea cafetalera","Batrachoseps attenuatus","Batrachuperus tibetanus","Bolitoglossa franklini","Bolitoglossa lincolni","Chiropterotriton nubilus","Cryptobranchus alleganiensis","Cynops pyrrhogaster","Desmognathus monticola","Echinotriton andersoni","Ensatina eschscholtzii","Eurycea bislineata","Ichthyosaura alpestris","Lissotriton boscai","Lissotriton helveticus","Lissotriton vulgaris","Notophthalmus viridescens","Parvimolge townsendi","Plethodon cinereus","Plethodon glutinosus","Pseudoeurycea altamontana","Aquiloeurycea cephalica","Pseudoeurycea gadovii","Pseudoeurycea granitum","Pseudoeurycea leprosa","Pseudoeurycea longicauda","Pseudoeurycea lynchi","Pseudoeurycea melanomolga","Pseudoeurycea nigromaculata","Pseudoeurycea rex","Pseudoeurycea robertsi","Pseudoeurycea sp","Salamandra salamandra","Taricha granulosa","Taricha torosa","Triturus cristatus","Triturus marmoratus"
"Ambystoma altamirani",0,0.713758775978877,0.571298622727899,0.471317020575386,0.275069123632554,0.410419665596279,0.815505690268499,0.65254254274318,0.753285175157072,0.215378058352393,0.760118300368928,0.404023456773224,0.748918802396823,0.746914833903964,0.414211875890078,0.664143126698314,0.574144016195524,0.527387330535881,0.460553029723683,0.406989836168534,0.713325061852026,0.271320454995385,0.623422809445842,0.609083189639454,0.69552078700191,0.74952469541225,0.761121115226873,0.405182303803822,0.811843082721388,0.758362220321433,0.290914562978514,0.761177272039158,0.339835083244527,0.637597767976346,0.60733530531288,0.634966202730394,0.535970425138632,0.411895397265484,0.393561547239155,0.439097940303231,0.536197286636294
"Ambystoma mexicanum",0.713758775978877,0,0.785825280977617,0.475150624379996,0.723978946973414,0.621370478206216,0.810451698258051,0.708961113502654,0.698598441026419,0.806165339935799,0.553521189461938,0.562809353042424,0.769522267206478,0.451240220753229,0.604168186259907,0.754219922060691,0.481159079324001,0.533760476166204,0.466402024596477,0.469155559426306,0.700979365346582,0.790352158390133,0.707005809381452,0.599423502349102,0.632997722331504,0.708279190644143,0.68929016595642,0.664855016201331,0.690969471047748,0.692130437818588,0.774561356965928,0.704070904285111,0.752528106775687,0.65104453253698,0.660301953818828,0.641201675909006,0.535563335551063,0.592161870468622,0.669564984893452,0.464584797583187,0.634772197802491
"Ambystoma rivulare",0.571298622727899,0.785825280977617,0,0.653652195021575,0.518861143309377,0.453063126671374,0.762426065102122,0.581000284504907,0.614509574742793,0.512230737137963,0.697330155917083,0.549308932313485,0.742871113588539,0.744421881378364,0.444987091743427,0.699048495242476,0.614678706178452,0.549484061058379,0.494614175704545,0.507401671783447,0.675348352369486,0.4360921639158,0.68924470045967,0.618894814965318,0.676834190067547,0.69064787138768,0.74714596954737,0.54052883036743,0.778629087053367,0.78542120237657,0.517968172053506,0.756734918649951,0.534615362765093,0.501141135470191,0.595766291755345,0.580838660052812,0.575514081524637,0.57815143723841,0.360224539118761,0.492802350503218,0.58771523857828
"Andrias japonicus",0.471317020575386,0.475150624379996,0.653652195021575,0,0.422746879914383,0.446366817453942,0.801968627803497,0.564049441674275,0.702838781731465,0.488209694251393,0.653362439506723,0.271757321630199,0.651872548889371,0.491062039957939,0.423455544299524,0.590864428824628,0.190762847095795,0.371651209868181,0.33346311750226,0.248974758834103,0.629709082859464,0.427891480911261,0.574116656610523,0.564988024908191,0.674273953807455,0.492127327142291,0.639820446249165,0.372231039594366,0.630757708151292,0.536546126721257,0.402315538625925,0.706031580758591,0.447942897405263,0.552733599301002,0.590471922737366,0.548662199886161,0.346078326545292,0.374258522818843,0.475618581896503,0.295011683507195,0.340819391116305
"Aquiloeurycea cafetalera",0.275069123632554,0.723978946973414,0.518861143309377,0.422746879914383,0,0.334827730751548,0.778924923963503,0.497477591305701,0.65738565644716,0.211108166477203,0.80955365952754,0.39506277521902,0.637031238143885,0.66872140905169,0.339272284077867,0.559631670770152,0.448290782281226,0.398301111180937,0.500906917221648,0.40596712021548,0.62267941030911,0.204948491187302,0.496788855314096,0.488688838852613,0.579814774042798,0.573573315725619,0.585056622353521,0.222549754186713,0.603980292937667,0.526039788928583,0.154458044804459,0.622586999703691,0.162212446816182,0.471936729262716,0.493936859929474,0.520871756777622,0.380861571735122,0.439373843110933,0.351922824174432,0.422744999516796,0.365725473670653
"Batrachoseps attenuatus",0.410419665596279,0.621370478206216,0.453063126671374,0.446366817453942,0.334827730751548,0,0.71418329549528,0.503839423571796,0.627368986831497,0.496331621423331,0.713618580900218,0.381596193115742,0.678124838169546,0.560850774733775,0.0839106623141666,0.603536726636563,0.453546780890673,0.350288893069253,0.40358950410824,0.336672004450927,0.663230655458126,0.482371447036301,0.510214239342134,0.387889338225448,0.533945264869259,0.606257180304526,0.58669093994132,0.310280888562511,0.68351734844929,0.625620505683136,0.400327930408661,0.577404874993475,0.367313366115333,0.42502072616491,0.38570753044095,0.499149357748018,0.262626932403759,0.365200172770669,0.106959603880253,0.37778477449886,0.373456011902431
"Batrachuperus tibetanus",0.815505690268499,0.810451698258051,0.762426065102122,0.801968627803497,0.778924923963503,0.71418329549528,0,0.806920253065687,0.685628009467069,0.860234032816892,0.820206729739406,0.761265890762294,0.853587997042446,0.823531235851924,0.701111590024632,0.830529535461671,0.780794631881628,0.704785478099502,0.815582900687453,0.771782908856968,0.83618354627699,0.872586409093847,0.769717822553956,0.668401648232487,0.780002063770509,0.805898044229186,0.801814882032668,0.724614492753623,0.84846038519202,0.790992155595382,0.837666667720109,0.802816901408451,0.746311725259094,0.776773172495522,0.7636064100644,0.757566855316024,0.686836045403842,0.785181129302689,0.734124711559889,0.812361658315933,0.731480308978093
"Bolitoglossa franklini",0.65254254274318,0.708961113502654,0.581000284504907,0.564049441674275,0.497477591305701,0.503839423571796,0.806920253065687,0,0.496062059572452,0.558989418729315,0.743213983046033,0.533920414221885,0.622282991739731,0.635093415659765,0.517475826754398,0.572652651622366,0.524805031679459,0.394265884297714,0.655385287770767,0.573660082849913,0.575260407043821,0.556371387967787,0.552893528085111,0.452956965460283,0.471826126954922,0.4956979995698,0.506733906852566,0.490981564524165,0.395989732164479,0.551977328352441,0.523266830892504,0.544073127002322,0.483594809219446,0.243810797731487,0.458947368421053,0.188387338452894,0.434696529109695,0.591656480907075,0.514149308236974,0.560438989409796,0.426816698893498
"Bolitoglossa lincolni",0.753285175157072,0.698598441026419,0.614509574742793,0.702838781731465,0.65738565644716,0.627368986831497,0.685628009467069,0.496062059572452,0,0.733784176847004,0.721987326383285,0.671193919053146,0.72612158958729,0.709884502863165,0.608997514637419,0.703490715610136,0.698023547782335,0.566649097862326,0.752724635826561,0.682111493862501,0.652017054772057,0.738197336834978,0.631405407741752,0.493492078256286,0.559292904493003,0.666345308645476,0.647663992449269,0.587321382177189,0.699279966116053,0.673831712128427,0.716442823035587,0.652367766461726,0.612316538054169,0.451521115001576,0.579826086956522,0.459746636551115,0.587315434073212,0.725904855068733,0.630769395961624,0.710074270326616,0.626419557658275
"Chiropterotriton nubilus",0.215378058352393,0.806165339935799,0.512230737137963,0.488209694251393,0.211108166477203,0.496331621423331,0.860234032816892,0.558989418729315,0.733784176847004,0,0.858989800090678,0.47724488520355,0.665434271607271,0.723530073707309,0.492742328518842,0.609235084690905,0.525324433101011,0.529021550753444,0.490354703602648,0.466164530959601,0.653826679548848,0.13958435056881,0.602567385876176,0.641435302645886,0.64361036639857,0.609557718690795,0.632024788519993,0.382512284238377,0.64826037943095,0.608657289666269,0.195213019758438,0.682643427741467,0.294551715656131,0.583045680421602,0.61625574151312,0.603988361475245,0.531084947658688,0.522862610572176,0.425657874748808,0.469854515079268,0.480617549680713
"Cryptobranchus alleganiensis",0.760118300368928,0.553521189461938,0.697330155917083,0.653362439506723,0.80955365952754,0.713618580900218,0.820206729739406,0.743213983046033,0.721987326383285,0.858989800090678,0,0.622614363185282,0.820657863860358,0.732254659337755,0.708331258935491,0.796014924858413,0.698557202351291,0.643359127602302,0.701771725034542,0.661219930988144,0.740178445174841,0.852303719740538,0.763715263068461,0.645158129647917,0.721472453710288,0.784669921613128,0.733617743303841,0.780506147785603,0.799377829144745,0.780776757961717,0.838675907769689,0.751004801320906,0.800469073030617,0.640913683979654,0.710055813579966,0.689424547708212,0.625740487230076,0.636346245862617,0.748814624205141,0.670090026486454,0.712649208742099
"Cynops pyrrhogaster",0.404023456773224,0.562809353042424,0.549308932313485,0.271757321630199,0.39506277521902,0.381596193115742,0.761265890762294,0.533920414221885,0.671193919053146,0.47724488520355,0.622614363185282,0,0.628656991861696,0.525559511195763,0.362866342669467,0.53581511471397,0.347517398285094,0.292151961671055,0.307533123182264,0.187912185755274,0.579664206842915,0.466551799487727,0.490201808590332,0.478236288941905,0.591360932572159,0.636876010250345,0.6210700658526,0.346528264916814,0.690330315742054,0.657081006060652,0.432644617940882,0.644136363985292,0.385622564226644,0.497553074749347,0.490176465835953,0.499944165023865,0.311072423781578,0.257920210540297,0.410296492016299,0.206056353386261,0.372706534450119
"Desmognathus monticola",0.748918802396823,0.769522267206478,0.742871113588539,0.651872548889371,0.637031238143885,0.678124838169546,0.853587997042446,0.622282991739731,0.72612158958729,0.665434271607271,0.820657863860358,0.628656991861696,0,0.690261996894486,0.660833595046884,0.103031192217157,0.658731620803892,0.585065065988249,0.715766308872759,0.638103737320381,0.112754537040098,0.65056650369604,0.277088979133911,0.598703906133458,0.623369746962435,0.615577989705119,0.616992412717177,0.638069390695415,0.635352729619154,0.663099904650917,0.630100458957086,0.648247534813161,0.599931475000612,0.611419991959678,0.61567869369418,0.652515625194925,0.591085371841954,0.698216704346735,0.681633889619832,0.653433774439416,0.601140830868465
"Echinotriton andersoni",0.746914833903964,0.451240220753229,0.744421881378364,0.491062039957939,0.66872140905169,0.560850774733775,0.823531235851924,0.635093415659765,0.709884502863165,0.723530073707309,0.732254659337755,0.525559511195763,0.690261996894486,0,0.517473180654904,0.664599348907445,0.355705171582628,0.477289128269992,0.448303636004997,0.473364965458943,0.68935447238751,0.702802890049603,0.65588455607374,0.57360678279977,0.644506479183899,0.63395763099846,0.577268348717206,0.619368132960992,0.704037946791677,0.680443698547155,0.627564021725423,0.621318905105117,0.655367284237967,0.604955975266799,0.535235476108628,0.622653233715099,0.455504837606922,0.615444585698751,0.594972978794952,0.450453201880988,0.519928625616
"Ensatina eschscholtzii",0.414211875890078,0.604168186259907,0.444987091743427,0.423455544299524,0.339272284077867,0.0839106623141666,0.701111590024632,0.517475826754398,0.608997514637419,0.492742328518842,0.708331258935491,0.362866342669467,0.660833595046884,0.517473180654904,0,0.589700733326861,0.441349336041137,0.334901081847031,0.374361991538529,0.323256586346804,0.64859478792068,0.47545607148637,0.507715499258363,0.39993967605765,0.550612648082891,0.59177768845874,0.567445555864735,0.320257007561292,0.701903207817937,0.637926887926888,0.381398732285306,0.568114055461331,0.3535655320277,0.443541226841347,0.384663926039835,0.513513129929711,0.263593577347386,0.356249153236204,0.132792909818881,0.365212462229019,0.342810001062522
"Eurycea bislineata",0.664143126698314,0.754219922060691,0.699048495242476,0.590864428824628,0.559631670770152,0.603536726636563,0.830529535461671,0.572652651622366,0.703490715610136,0.609235084690905,0.796014924858413,0.53581511471397,0.103031192217157,0.664599348907445,0.589700733326861,0,0.602558463325104,0.522014741882694,0.659978860685608,0.571406919498378,0.1086426483585,0.591412467955264,0.201037578406684,0.554753360826951,0.607613370813154,0.61535443421984,0.628246875179492,0.554188944216251,0.657864477942782,0.663100518975965,0.566672194392383,0.637633980702865,0.532673267326733,0.556429210826278,0.556606282691569,0.579715961980239,0.532704083807323,0.605955649537677,0.60850454369767,0.594852053788215,0.540880404654149
"Ichthyosaura alpestris",0.574144016195524,0.481159079324001,0.614678706178452,0.190762847095795,0.448290782281226,0.453546780890673,0.780794631881628,0.524805031679459,0.698023547782335,0.525324433101011,0.698557202351291,0.347517398285094,0.658731620803892,0.355705171582628,0.441349336041137,0.602558463325104,0,0.35359230556732,0.348156387425249,0.314627536455209,0.63061044878128,0.468601897707631,0.581741174386426,0.53960464611672,0.645832091642727,0.460378203784928,0.589682499874605,0.419317980120696,0.597262013773234,0.52760008823205,0.441212934417333,0.680718616952651,0.483563989967451,0.533204808305584,0.565577306894991,0.539418330399644,0.326480309194374,0.413723701425938,0.483627019215833,0.285328405258441,0.307829846884118
"Lissotriton boscai",0.527387330535881,0.533760476166204,0.549484061058379,0.371651209868181,0.398301111180937,0.350288893069253,0.704785478099502,0.394265884297714,0.566649097862326,0.529021550753444,0.643359127602302,0.292151961671055,0.585065065988249,0.477289128269992,0.334901081847031,0.522014741882694,0.35359230556732,0,0.451757926227905,0.33819113925179,0.532313132662467,0.51401132467123,0.464198091524842,0.317156493036577,0.482069668146927,0.553831529295257,0.487722883460719,0.348987305476631,0.609352150249935,0.555390640012192,0.457233532007121,0.54230413008967,0.373228522275733,0.342179701420174,0.37081460958881,0.370978378220653,0.179533921163054,0.338712829178017,0.378340110088527,0.334330534084524,0.200947242238247
"Lissotriton helveticus",0.460553029723683,0.466402024596477,0.494614175704545,0.33346311750226,0.500906917221648,0.40358950410824,0.815582900687453,0.655385287770767,0.752724635826561,0.490354703602648,0.701771725034542,0.307533123182264,0.715766308872759,0.448303636004997,0.374361991538529,0.659978860685608,0.348156387425249,0.451757926227905,0,0.172414483325589,0.686428680428913,0.478571919928458,0.639855186299194,0.599489768801488,0.70743670886076,0.743665502730773,0.754041850754964,0.513004627413436,0.792696896833318,0.763234553967697,0.510880293274428,0.780604911465182,0.549259951142406,0.616775852176747,0.61996709403036,0.622359358492448,0.473767105798717,0.410709002027977,0.357694732422487,0.178987970328592,0.528020650481813
